Year,house_prices,unemployment_rate,inflation,interest_rate,gdp,labor_force,population
2010,18569,4.5,3.175,5.81,10.636,772249983,16441000
2011,19242,4.5,5.554,6.56,9.551,775331931,16938000
2012,17390,4.6,2.62,6,7.86,778628797,17298000
2013,19356,4.6,2.621,6,7.769,781449430,17664000
2014,19195,4.6,1.922,5.6,7.3,783840531,18039000
2015,22596,4.6,1.437,4.35,6.905,785372420,18421000
2016,29467,4.5,2,4.35,6.737,786329395,18812000
2017,33729,4.4,1.593,4.35,6.757,787399317,19211000
2018,35130,4.42,2.075,4.35,6.6,785974695,19618000
2019,38822,3.61,3.4,4.3,6.2,783194000,20035000
